intensity,PI,Do,exposure_time,cured_height
0.0,0.8,0.10344828,0.81666666,0.027777778
0.33333334,0.8,0.10344828,0.9,0.38194445
0.33333334,0.8,0.10344828,0.2,0.0
1.0,0.8,0.10344828,0.78333336,0.5625
0.33333334,0.8,0.10344828,0.23333333,0.048611112
0.7777778,0.8,0.10344828,0.25,0.2361111
1.0,0.8,0.10344828,0.43333334,0.4236111
0.8888889,0.8,0.10344828,0.1,0.020833334
0.5555556,0.8,0.10344828,0.21666667,0.13194445
0.11111111,0.8,0.10344828,0.96666664,0.24305555
1.0,0.8,0.10344828,0.16666667,0.18055555
0.0,0.8,0.10344828,0.0,0.0
0.7777778,0.8,0.10344828,0.0,0.0
0.0,0.8,0.10344828,0.38333333,0.0
0.22222222,0.8,0.10344828,0.6666667,0.24305555
0.11111111,0.8,0.10344828,0.06666667,0.0
1.0,0.8,0.10344828,0.81666666,0.5763889
0.6666667,0.8,0.10344828,0.41666666,0.3263889
0.11111111,0.8,0.10344828,0.98333335,0.24305555
0.33333334,0.8,0.10344828,0.6666667,0.3125
